Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1,1,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,1,
2,1,0,0,0.0428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857,0,0,0,0,0.157143,0,0,0,0,0,1,
3,1,0,0,0,0.5625,0,0.541667,0,0,0,0,0,0,0,0,0,0,0,0.104167,0,0,0,0,0.979167,0.625,0,0.145833,0.0833333,0,1,
4,1,0,0,0,0.190476,0,0.238095,0,0,0,0,0,0,0,0,0,0,0,0.047619,0.285714,0,0,0,0.428571,0.285714,0.0952381,0.238095,0.190476,0,1,
5,1,0,0,0.0454545,0.0681818,0,0,0,0,0,0,0,0.204545,0,0,0,0.0454545,0,0,0.0681818,0.0227273,0,0,0.318182,0.272727,0,0.0227273,0,0,1,
6,1,0,0,0,0.142857,0,0,0,0,0,0,0,0.52381,0,0,0,0.047619,0,0,0.190476,0.142857,0.142857,0,0.428571,0.761905,0,0.190476,0.714286,0,1,
7,1,0,0,0,0,0,0,0,0,0,0,0,0.529412,0,0,0,0,0,0,0,0.411765,0,0,0,0,0,0,0.235294,0,1,
8,1,0,0,0.348837,0.139535,0.0232558,0,0.348837,0,0,0,0,0.0232558,0,0,0,0.0465116,0,0,0,0,0,0,0.44186,0.0930233,0,0,0.0232558,0,1,
9,1,0,0,0.181818,0,0,0,0.121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121212,0,0,0,0,0,1,
10,1,0,0,0.238095,0,0.190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190476,0,0,0,0,0,0,0,1,
11,1,0,0.176471,0,0.372549,0.27451,0.823529,0,0,0.392157,0,0,0.0392157,0,0,0,0,0,0,0,0.0588235,0,0,0.745098,0.313725,0,0,0.470588,0,1,
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
