Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1,1,0,0,0.0487805,0,0,0,0,0,0,0,0.609756,0,0,0,0.121951,0.804878,0,0,0,0,0,0,0.829268,1,0,0,0.585366,1,1,
2,1,0,0,0,0,0,0,0,0,0,0,0.944444,0,0,0,0.416667,0.861111,0,0.0555556,0,0.138889,0.305556,0,0.694444,1,0,0,0.833333,1,1,
3,1,0,0,0.0333333,0,0,0,0.0666667,0,0,0,0.266667,0,0,0,0,0,0,1,0.0666667,0,0,0,0.333333,0.766667,0,0.966667,0.4,0.466667,1,
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0,0.25,0,0.875,0,0,1,1,0,0.75,1,1,1,
5,1,0,0,0,0,0,0,0,0,0,0,1,0.0181818,0,0,0.272727,0.2,0,0,0,0,0.0545455,0,0.309091,0.890909,0.0545455,0.0545455,0.745455,1,1,
6,1,0,0,0,0,0,0,0,0,0,0,0,0.0344828,0,0,0,0,0,0,0,0,0,0,1,0.310345,0.0344828,0.0689655,0,0,1,
7,1,0,0.212121,0.0606061,0,0.0151515,0,0.121212,0,0,0,0.530303,0.30303,0.106061,0,0.484848,0.272727,0,0,0,0.136364,0.772727,0,1,1,0.287879,0,0.439394,0.80303,1,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424242,0,0,0.545455,0,1,0.969697,0.424242,0.515152,0,0,1,
9,1,0,0.461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615385,0,0,0.923077,0,1,1,1,0.846154,0,0,1,
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147059,0,1,0.323529,0.5,0.235294,0,0,1,
11,1,0,0.538462,0.102564,0,0,0,0.307692,0,0,0,0,0,0,0,0,0,0,0.307692,0,0.025641,0.307692,0,0.871795,1,0.512821,0.102564,0,0,1,
12,1,0,0,0.444444,0,0,0.333333,0.333333,0,0.111111,0,0,0,0,0,0,0,0,0.555556,0,0,0.777778,0,1,0.888889,0.111111,0.666667,0.888889,0,1,
13,1,0.0277778,0,0,0,0,0,0,0,0,0,0,0.277778,0,0,0,0,0,0.222222,0,0,0.111111,0,1,0.111111,0,0.388889,0,0,1,
14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,1,1,1,
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
16,1,0,0,0.0454545,0,0,0,0,0,0,0,0,0,0,0,0,0.227273,0,0,0,0,0.227273,0,1,0.545455,0.5,0,0,0.363636,1,
17,1,0,0,0,0,0,0,0,0,0,0,0.684211,0,0,0,0.473684,0.210526,0,0,0,0,0,0,0.842105,1,0,0,0.894737,1,1,
18,1,0,0,0.111111,0,0,0,0,0,0,0,0,0.822222,0,0,0,0,0,0,0,0,0.488889,0,0.977778,0.888889,0,0,0.0444444,0,1,
19,1,0.0212766,0,0,0,0.0212766,0.446809,0,0,0.340426,0,0,0.0638298,0,0,0,0,0,0,0,0,0.12766,0,0.893617,0.170213,0.446809,0,0.382979,0,1,
20,1,0,0,0,0,0,0,0,0,0,0,0.304348,0,0,0,0,0,0,0.0869565,0.0434783,0,0,0,0.130435,0.913043,0,0,0.826087,1,1,
21,1,0,0,0.0416667,0,0,0.0416667,0,0,0,0,0,0.583333,0,0,0,0,0,0,0,0,0.25,0,1,1,0.791667,0,0,0,1,
22,1,0,0.0645161,0,0,0,0,0.0322581,0,0,0,0,0.0322581,0,0,0,0,0,0,0,0,0.0322581,0,0.677419,0.564516,0.435484,0,0,0,1,
23,1,0,0,0.0535714,0,0.107143,0,0,0,0,0.178571,0.642857,0,0,0,0.125,0.375,0,0.732143,0,0.0535714,0.107143,0.0178571,0.553571,1,0.5,0.785714,0.428571,1,1,
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123288,0,0.945205,0.465753,0.164384,0.0547945,0,0,1,
25,1,0,0.0898876,0,0,0,0,0,0,0,0,0,0.134831,0,0,0,0.280899,0,0,0,0,0.382022,0,1,0.741573,0,0.0224719,0,0.853933,1,
26,1,0,0,0,0,0,0,0,0,0,0,0,0.589744,0,0,0,0,0,0.423077,0.166667,0,0.410256,0,0.987179,1,1,0.5,0.025641,0,1,
27,1,0,0,0,0,0,0,0.039604,0,0,0,0,0.168317,0,0,0,0,0,0.257426,0,0.00990099,0.445545,0,0.851485,0.594059,0.643564,0.465347,0.158416,0,1,
28,1,0,0.38835,0,0.349515,0,0,0,0,0,0,0,0.184466,0,0,0,0,0,0,0,0.0873786,0.601942,0,0.970874,1,0.242718,0.23301,0,0.106796,1,
29,1,0,0,0,0,0,0,0.0107527,0,0,0,0,0,0,0,0,0,0,0.129032,0.0430108,0,0.11828,0.107527,0.387097,0.204301,0.139785,0.365591,0.0752688,0,1,
30,1,0,0,0,0,0,0,0,0,0.025641,0,0,0,0,0,0,0.034188,0,0.179487,0,0,0.00854701,0,0.888889,0.307692,0.128205,0.239316,0,0.162393,1,
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.540541,0,0,0,0,1,
32,1,0,0,0.0128205,0,0.0897436,0,0,0,0,0,0.602564,0,0.102564,0,0,0.102564,0,0.807692,0,0.346154,0,0,0.564103,0.961538,0.0384615,0.576923,0.538462,0.871795,1,
33,1,0,0.4,0.026087,0,0,0,0.608696,0,0,0,0,0,0,0,0,0,0,0.00869565,0,0,0.0347826,0,0.826087,0.347826,0.278261,0.121739,0,0,1,
34,1,0,0.875,0,0.395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0208333,0.708333,0,1,1,1,0.75,0,0.0625,1,
35,1,0,0.706897,0.0344828,0,0.155172,0,0,0,0,0,0.413793,0.0344828,0,0,0.137931,0.137931,0,0,0,0.155172,0.5,0,0.965517,1,0.87931,0.758621,0.137931,0.413793,1,
36,1,0,0,0.0769231,0,0,0,0,0,0,0,0.519231,0.00961538,0,0,0.0769231,0.0192308,0,0.432692,0,0.0865385,0.0865385,0,0.586538,0.894231,0.163462,0.307692,0.365385,0.923077,1,
37,1,0,0,0.00769231,0,0.0384615,0,0,0,0,0.438462,0.0846154,0.138462,0.00769231,0,0.0153846,0.0769231,0,0.669231,0,0.00769231,0,0,0.2,0.592308,0,0.592308,0.530769,0.807692,1,
38,1,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0,0,0.0588235,0,0,1,0,0,0,0,0.411765,0.941176,0,1,0.352941,0.764706,1,
39,1,0,0,0.714286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0714286,0,0,0,0.785714,1,0,0,0.571429,1,1,
40,1,0,0,0.0175439,0,0.175439,0,0,0,0,0.210526,0.350877,0,0,0,0.0175439,0,0,1,0,0.175439,0,0,0.77193,0.947368,0,0.894737,0.508772,0.877193,1,
41,1,0,0.512821,0.102564,0,0,0,0,0,0,0,0.153846,0.384615,0,0,0.0769231,0,0,0,0,0,0.871795,0,1,0.948718,0.948718,0.333333,0,0.230769,1,
42,1,0,0,0,0,0,0,0,0,0,0,0.195402,0,0.0114943,0,0,0.0229885,0,0.747126,0.0574713,0.045977,0,0,0.528736,0.885057,0.137931,0.747126,0.195402,0.885057,1,
43,1,0,0,0.0366972,0,0.0458716,0,0,0,0.00917431,0.0183486,0.165138,0,0,0,0.00917431,0.53211,0,0.633028,0,0.0366972,0,0.12844,0.59633,0.908257,0.0183486,0.743119,0.706422,0.926606,1,
44,1,0,0.011976,0.173653,0.0419162,0,0,0.203593,0,0.0479042,0,0,0.0658683,0,0,0,0,0,0.221557,0,0,0.0538922,0,0.772455,0.616766,0.221557,0.11976,0,0,1,
45,1,0,0,0,0,0,0,0,0,0,0,0.356322,0,0,0,0,0,0.655172,0.517241,0,0.0344828,0.0114943,0,0.344828,0.931034,0,0,0.804598,0.988506,1,
46,1,0,0,0.0392157,0,0.0392157,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0,0.0980392,0,1,0.941176,0.431373,0.490196,0,0,1,
47,1,0,0.142857,0.896825,0,0,0,0.785714,0,0,0,0,0,0,0,0,0,0,0.119048,0,0,0.0714286,0,0.825397,0.31746,0.412698,0.325397,0,0,1,
48,1,0,0,0,0.030303,0.0454545,0.924242,0,0,0.424242,0,0,0.0454545,0,0,0,0,0,0,0,0.0454545,0.0151515,0,0.984848,0.575758,0.439394,0,0.621212,0,1,
49,1,0,0,0,0,0,0,0,0,0,0.283019,0.792453,0,0,0,0.301887,0.830189,0,0.471698,0,0.169811,0.0377358,0,0.566038,1,0,0.45283,0.509434,1,1,
50,1,0,0,0,0,0,0,0,0,0,0,0.606383,0,0.0531915,0,0.0425532,0.0744681,0,0.319149,0,0.0212766,0,0,0.457447,0.946809,0,0.12766,0.244681,1,1,
51,1,0,0.376147,0,0,0,0,0,0,0,0,0,0.0917431,0,0,0,0,0,0.311927,0.0917431,0,0.59633,0,1,0.93578,0.834862,0.46789,0,0,1,
52,1,0,0,0.0434783,0.467391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836957,0.076087,0,0,0,0,1,
53,1,0.0214286,0.0642857,0.128571,0,0.0357143,0.371429,0.0571429,0,0.00714286,0,0,0.121429,0,0,0,0,0,0.242857,0,0,0.1,0,0.957143,0.521429,0.764286,0.264286,0.25,0,1,
54,1,0,0,0,0,0,0,0.0545455,0,0,0,0.927273,0,0,0,0.0181818,0,0,0.781818,0,0.0181818,0.0363636,0,0.363636,1,0,0.872727,0.290909,1,1,
55,1,0.211538,0,0.134615,0,0.269231,0.365385,0,0,0.0961538,0,0,0,0,0,0,0,0,0.115385,0,0,0.0576923,0,0.692308,0.730769,0,0.153846,0.0192308,0,1,
56,1,0,0,0,0,0,0,0,0,0,0.381818,0.727273,0,0.0363636,0,0.127273,0.327273,0,0.981818,0,0.0909091,0,0,0.545455,1,0,0.945455,0.363636,1,1,
