Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1,1,0,0,0,0,0,0,0,0,0,0.425,0.4875,0.025,0,0,0.3875,0.875,0,0.3875,0,0.275,0.7875,0.05,0.425,1,0.05,0.4125,0.55,1,1,
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227273,0,0,0,0,0,0,1,0.727273,0,0,0,0,1,
3,1,0,0,0,0,0,0,0,0,0,0.012987,0.850649,0,0.363636,0,0.850649,0.88961,0,0.162338,0,0.188312,0.025974,0.571429,0.0974026,1,0.00649351,0.181818,0.415584,1,1,
4,1,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0.208333,0,0.375,0,0.0833333,0,0,0.291667,0.875,0.708333,0.333333,0,0.5,1,
5,1,0,0,0.258065,0,0.596774,0,0,0.177419,0,0,0.435484,0.0483871,0,0,0.0645161,0.435484,0,0,0,0,0.709677,0.145161,0.322581,0.66129,0.016129,0,0.0483871,0.741935,1,
6,1,0,0,0.777778,0.111111,0,0,0.730159,0,0,0,0.571429,0.111111,0.428571,0,0.619048,0.365079,0,0.0634921,0,0,0.238095,0.142857,0.873016,0.888889,0.047619,0,0.0634921,0.555556,1,
7,1,0,0,0.0336134,0.00840336,0,0,0.10084,0,0,0,0.344538,0.12605,0.193277,0,0.344538,0.243697,0,0.12605,0,0,0.151261,0.00840336,0.512605,0.361345,0.0756303,0.0756303,0.0420168,0.394958,1,
8,1,0,0,0,0.267606,0.056338,0.0422535,0,0,0.0704225,0,0,0.28169,0,0,0.028169,0,0.0985915,0.253521,0,0,0.647887,0,0.647887,0.971831,0.0985915,0.183099,0.28169,0,1,
9,1,0.153846,0,0.923077,0.884615,0,0.0384615,0.807692,0,0.923077,0,0,0.0769231,0,0.384615,0,0,0,0.807692,0.0769231,0,0.5,0.0384615,1,1,0.5,0.5,0.923077,0,1,
10,1,0,0,0.22807,0.0175439,0,0,0,0,0,0,0,0.175439,0,0,0,0,0,0,0,0,0,0,0.368421,0,0.0350877,0,0,0,1,
11,1,0.531915,0,0.0212766,0.0851064,0,0.191489,0.0638298,0,0.404255,0,0,0.446809,0,0,0,0,0,0,0,0.0638298,0.0425532,0,0.957447,0.87234,0.553191,0,0,0,1,
12,1,0,0,0,0,0,0,0,0,0,0,0.577465,0.028169,0.0422535,0,0.450704,0.309859,0,0.056338,0,0.056338,0,0.0140845,0.507042,0.760563,0,0.056338,0,0.84507,1,
13,1,0,0,0,0,0,0,0,0,0,0,0.953488,0,0,0,0.116279,0.0930233,0,0.348837,0,0,0.302326,0,0.116279,0.232558,0,0.27907,0,1,1,
14,1,0,0,0,0,0,0,0,0.419355,0,0,0.483871,0.516129,0,0,0.193548,0.0645161,0,0.483871,0,0.0645161,0.935484,0.129032,0.16129,0.387097,0,0.387097,0,0.806452,1,
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769,0,0.153846,0,0,0,0,0,1,
16,1,0.571429,0,0,0.571429,0,0,0,0,0,0,0,0,0,0,0.642857,0,0,0,0,0,0,0,0.214286,0,0,0,0.428571,0.0714286,1,
17,1,0.08,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0.4,0,0.12,0,0.02,0,0.05,0,1,
18,1,0,0,0.863636,0.272727,0,0,0.5,0,0,0,0,0.954545,0,0,0,0,0,0.590909,0,0,0.954545,0,0.954545,0.954545,0.954545,0.454545,0.363636,0,1,
19,1,0,0,0,0.896552,0,0.137931,0,0,0.931034,0,0,0,0,0,0,0,0,0,0,0.0689655,0,0,1,0.689655,0,0,0.310345,0,1,
20,1,0,0,0,0,0,0.576923,0,0,0,0,0,0.0192308,0,0,0,0,0,0.0961538,0,0,0,0,0.423077,0.0192308,0.230769,0,0.0384615,0,1,
21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.347826,0,0.0434783,0.826087,0,0.782609,0.695652,0.956522,0.391304,0,0,1,
22,1,0,0,0,0.0606061,0,0,0,0,0,0,0,0.121212,0,0,0,0,0,0,0,0,0.0909091,0,0.515152,0,0,0,0,0,1,
23,1,0,0,0,0,0,0,0,0,0,0,0.407407,0.0740741,0,0,0.814815,0,0,0,0,0,0.518519,0,0,0,0,0,0,0,1,
24,1,0,0,0,0,0,0,0,0,0,0,0,0.904762,0,0,0,0,0,0,0,0,0.666667,0,0,0,0.97619,0,0,0,1,
25,1,0,0,0,0.09375,0,0,0,0.71875,0,0,0.734375,0.234375,0,0,0.265625,0,0,0,0,0,0.484375,0.453125,0.625,0.984375,0,0,0,0.9375,1,
26,1,0,0,0,0,0,0,0,0.305085,0,0,0,0.966102,0,0,0,0,0,0.559322,0,0.0338983,0.966102,0.0847458,1,1,0.898305,0,0.0169492,0.864407,1,
27,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.85,0.3,0,1,0,1,1,1,0.85,0,0.05,1,
28,1,0,0,0,0,0,0,0,0,0,0,0,0.470588,0,0,0,0,0,0.176471,0,0,0.264706,0,0.676471,0.490196,0.00980392,0.0294118,0,0,1,
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.7,0.2,0,0,0.0333333,0,1,
30,1,0,0,0,0.15873,0,0.015873,0,0.15873,0,0,0.428571,0,0.0952381,0,0.555556,0.31746,0,0.031746,0,0,0.0952381,0.190476,0.126984,0.492063,0,0,0.142857,0.539683,1,
31,1,0.0285714,0,0.514286,0.0857143,0,0,0.742857,0,0.142857,0,0,0.771429,0,0,0,0,0,0.485714,0,0,0.257143,0,0.771429,0.685714,0.571429,0.4,0.171429,0,1,
32,1,0,0,0,0.448276,0,0,0,0,0,0,0,0.724138,0,0,0,0,0,0,0,0,0.137931,0,0.931034,0,0.0689655,0,0,0,1,
33,1,0,0,0,0.0898876,0,0.224719,0,0.0561798,0,0,0.483146,0,0.292135,0,0.426966,0.426966,0,0.0224719,0.0224719,0,0.325843,0.101124,0.325843,0.483146,0,0,0.123596,0.606742,1,
34,1,0,0,0,0.06,0,0,0,0,0.32,0,0,0.28,0,0,0,0,0,0,0,0.06,0.02,0,0.86,0.92,0,0,0.16,0,1,
35,1,0.00990099,0,0.168317,0.158416,0,0.039604,0.514851,0,0.029703,0,0,0,0,0,0,0,0,0.277228,0,0,0.029703,0,0.544554,0,0,0.267327,0,0,1,
36,1,0,0,0,0,0,0,0,0,0,0,0,0.557692,0,0,0,0,0,0.5,0.0384615,0,0.519231,0,0.846154,0.826923,0.846154,0.423077,0,0,1,
37,1,0,0,0,0,0,0,0,0,0,0,0.304348,0,0,0,0.076087,0,0,0,0,0,0.0217391,0,0,0,0,0,0,0.25,1,
38,1,0,0,0,0,0,0,0,0,0,0,0,0.0555556,0,0,0,0,0,0,0.0555556,0,0.388889,0,0.138889,0,0.541667,0,0,0.319444,1,
39,1,0,0,0,0.0819672,0,0,0,0.0655738,0,0,0.606557,0,0.196721,0,0.639344,0.918033,0,0.491803,0,0.147541,0.393443,0.229508,0,1,0,0.459016,0.131148,1,1,
40,1,0,0,0,0,0,0,0,0,0,0,0.5,0.0769231,0,0,0.730769,0,0,0,0,0,0.0384615,0,0,0.0384615,0,0,0,0,1,
41,1,0.535714,0,0.267857,0.607143,0,0.196429,0.267857,0,0.892857,0,0,0.446429,0,0,0,0,0,0.660714,0,0.0892857,0.339286,0,1,1,0.303571,0.357143,0.982143,0,1,
42,1,0,0,0,0.0348259,0,0,0,0.20398,0,0,0.597015,0.621891,0.0895522,0,0.442786,0.422886,0.0447761,0.323383,0.039801,0.0199005,0.41791,0.19403,0.288557,0.950249,0.383085,0.0945274,0.139303,0.920398,1,
43,1,0,0,0,0,0,0,0,0.27381,0,0,0.654762,0.166667,0,0,0.142857,0.0119048,0,0.559524,0,0,0.333333,0.0119048,0.0595238,0.547619,0,0.547619,0,0.833333,1,
44,1,0.109756,0,0.146341,0.207317,0,0,0,0,0,0,0,0.170732,0,0,0,0,0,0.45122,0,0.0243902,0.0365854,0,0.914634,0.243902,0.195122,0.390244,0,0,1,
45,1,0,0,0,0,0,0,0,0,0,0,0.525424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830508,1,
46,1,0,0,0.223404,0.202128,0.361702,0,0,0,0,0.0425532,0.297872,0.329787,0,0,0.329787,0.170213,0,0.244681,0,0,0.361702,0.148936,0.648936,0.553191,0.446809,0.148936,0.0957447,0.468085,1,
47,1,0,0,0,0.0571429,0,0,0,0.874286,0,0.0457143,0.851429,0.108571,0.0171429,0,0.297143,0.0742857,0,0,0,0,0.8,0.531429,0.0171429,0.971429,0.0114286,0,0.0228571,1,1,
48,1,0,0,0,0.120879,0,0,0,0,0.230769,0,0,0.395604,0,0,0,0,0,0.494505,0,0,0.120879,0,0.494505,0.835165,0.010989,0.395604,0,0,1,
49,1,0,0,0,0.0327869,0,0,0,0,0,0,0,0.672131,0,0,0,0,0,0.0983607,0,0,0.360656,0,0.57377,0.295082,0,0,0,0,1,
50,1,0,0,0,0,0,0,0,0.172414,0,0,0.701149,0,0.321839,0,0.781609,0.747126,0,0.54023,0,0,0,0.0804598,0,0.586207,0,0.436782,0.149425,0.988506,1,
51,1,0,0,0,0,0,0,0,0,0,0.1,1,0,0.04,0,1,0.74,0,0.2,0,0.1,0.28,0.24,0,1,0,0,0.18,1,1,
52,1,0.222222,0,0.047619,0.531746,0,0.0873016,0.047619,0.365079,0.468254,0,0.246032,0.0873016,0,0,0.126984,0,0,0.047619,0,0,0.238095,0.0714286,0.730159,1,0.047619,0.0238095,0.269841,0.436508,1,
