,CD4,CD4_FoxP3,CD4_ki67,CD8,CD8_CD4_FoxP3,CD8_ki67,Undef
141Pr_aSMA+152Sm_FAP+,-7.543280532024726,-7.379870251122691,-6.558058476201101,-9.859118733918795,-8.401233212016164,-5.039899976053753,-10.658620867462725
141Pr_aSMA+152Sm_FAP-,-3.7057857184263474,-2.208547779429833,-3.6109448580346304,-2.1430125068516523,-0.5303719944746833,-1.322313144683336,-4.889534777055702
141Pr_aSMA-152Sm_FAP+,-5.6714427099432525,-4.3860056863507255,-5.115402430787122,-5.239172348441734,-3.8281144877290627,-2.711909600331608,-8.950163119573569
141Pr_aSMA-152Sm_FAP-,-3.5667486655774145,-1.2626156451904802,-2.528564899396854,-1.986087479409415,-0.18448001660232008,-3.8353315738475664,-6.96343869741637
141Pr_aSMA+160Gd_PDGFRa+,-8.012557687508474,-7.893217038958314,-7.530410910498198,-10.207293160105484,-8.015873398733213,-5.307590095004854,-11.285548707575446
141Pr_aSMA+160Gd_PDGFRa-,-2.907452809309511,-2.327889346584254,-2.2452211359437073,-3.0054180621676023,-2.4776868524164466,-1.1493178053951476,-4.036446544134874
141Pr_aSMA-160Gd_PDGFRa+,-5.059236238898961,-3.1349555117958037,-5.069600141741274,-2.6653240582317963,-1.5271412088682184,-3.4779677466119288,-9.306110002217498
141Pr_aSMA-160Gd_PDGFRa-,-4.211744754468602,-2.3694056128181313,-1.84136541684931,-5.338044748788714,-2.8758961822527613,-3.3092940546559277,-6.543555203253566
141Pr_aSMA+171Yb_PDGFRb+,-7.826206627811925,-8.08900690061578,-7.223569794973243,-9.504588744397653,-7.458310517385416,-5.313533080567651,-11.141382218293248
141Pr_aSMA+171Yb_PDGFRb-,-3.354087488875451,-1.6812345596151284,-2.1438157902622255,-4.631012579047817,-3.990187883897793,-1.0652023655040184,-4.866036912467873
141Pr_aSMA-171Yb_PDGFRb+,-4.477306585132135,-4.208942766655994,-4.9109084108410395,-3.83220871576148,-0.9184671917475014,-3.0382544629298147,-8.399707633519672
141Pr_aSMA-171Yb_PDGFRb-,-5.107251865755611,-1.1089550876575665,-2.2474664739070915,-3.078406992071034,-3.2652451272676837,-3.740951178441903,-7.510933830019983
152Sm_FAP+160Gd_PDGFRa+,-9.183655365180906,-8.357716446758044,-8.096056028973704,-10.591239565308191,-8.97837390777284,-5.2659612044040545,-13.193323122484651
152Sm_FAP+160Gd_PDGFRa-,-3.725205559191602,-3.029781275052283,-2.4020166909964424,-3.983545858546085,-2.6851696521531836,-2.372878372055144,-5.869873532368585
152Sm_FAP-160Gd_PDGFRa+,-3.640665942742257,-1.3828439364671712,-3.555656279620295,-0.22832047440483577,1.452724522525971,-3.3045433427700086,-7.066726842635547
