,Cell_id,img_id,PhenoGraph_clusters,level1_annotated,location,cell_label
0,14301_3,R2_001,25,Ep,cancer,1
1,14302_3,R2_001,29,Fibro,cancer,2
2,14303_3,R2_001,14,Fibro,cancer,3
3,14304_3,R2_001,43,Ep,cancer,4
4,14305_3,R2_001,9,Ep,cancer,5
5,14306_3,R2_001,5,Fibro,cancer,6
6,14307_3,R2_001,9,Ep,cancer,7
7,14308_3,R2_001,16,Ep,cancer,8
8,14309_3,R2_001,5,Fibro,cancer,9
9,14310_3,R2_001,14,Fibro,cancer,10
10,14311_3,R2_001,31,Ep,cancer,11
11,14312_3,R2_001,13,Ep,cancer,12
12,14313_3,R2_001,14,Fibro,cancer,13
13,14314_3,R2_001,9,Ep,cancer,14
14,14315_3,R2_001,43,Ep,cancer,15
15,14316_3,R2_001,1,Ep,cancer,16
16,14317_3,R2_001,10,Fibro,cancer,17
17,14318_3,R2_001,0,Fibro,cancer,18
18,14319_3,R2_001,5,Fibro,cancer,19
19,14320_3,R2_001,2,Ep,cancer,20
20,14321_3,R2_001,2,Ep,cancer,21
21,14322_3,R2_001,25,Ep,cancer,22
22,14323_3,R2_001,2,Ep,cancer,23
23,14324_3,R2_001,1,Ep,cancer,24
24,14325_3,R2_001,2,Ep,cancer,25
25,14326_3,R2_001,7,Undef,cancer,26
26,14327_3,R2_001,7,Undef,cancer,27
27,14328_3,R2_001,7,Undef,cancer,28
28,14329_3,R2_001,29,Fibro,cancer,29
29,14330_3,R2_001,29,Fibro,cancer,30
30,14331_3,R2_001,25,Ep,cancer,31
31,14332_3,R2_001,10,Fibro,cancer,32
32,14333_3,R2_001,9,Ep,cancer,33
33,14334_3,R2_001,25,Ep,cancer,34
34,14335_3,R2_001,1,Ep,cancer,35
35,14336_3,R2_001,9,Ep,cancer,36
36,14337_3,R2_001,1,Ep,cancer,37
37,14338_3,R2_001,20,Ep,cancer,38
38,14339_3,R2_001,29,Fibro,cancer,39
39,14340_3,R2_001,17,Ep,cancer,40
40,14341_3,R2_001,7,Undef,cancer,41
41,14342_3,R2_001,12,Immune,cancer,42
42,14343_3,R2_001,2,Ep,cancer,43
43,14344_3,R2_001,19,Immune,cancer,44
44,14345_3,R2_001,6,Ves,cancer,45
45,14346_3,R2_001,6,Ves,cancer,46
46,14347_3,R2_001,6,Ves,cancer,47
47,14348_3,R2_001,2,Ep,cancer,48
48,14349_3,R2_001,1,Ep,cancer,49
49,14350_3,R2_001,2,Ep,cancer,50
50,14351_3,R2_001,1,Ep,cancer,51
51,14352_3,R2_001,2,Ep,cancer,52
52,14353_3,R2_001,1,Ep,cancer,53
53,14354_3,R2_001,34,Ves,cancer,54
54,14355_3,R2_001,25,Ep,cancer,55
55,14356_3,R2_001,30,Undef,cancer,56
56,14357_3,R2_001,2,Ep,cancer,57
57,14358_3,R2_001,6,Ves,cancer,58
58,14359_3,R2_001,8,Immune,cancer,59
59,14360_3,R2_001,1,Ep,cancer,60
60,14361_3,R2_001,2,Ep,cancer,61
61,14362_3,R2_001,1,Ep,cancer,62
62,14363_3,R2_001,9,Ep,cancer,63
63,14364_3,R2_001,25,Ep,cancer,64
64,14365_3,R2_001,1,Ep,cancer,65
65,14366_3,R2_001,6,Ves,cancer,66
66,14367_3,R2_001,1,Ep,cancer,67
67,14368_3,R2_001,12,Immune,cancer,68
