,label,area,centroid_x,centroid_y,num_cells,cells_in_region
0,1,3892,162.64131551901335,12.951952723535458,52,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 34, 38, 39, 40, 41, 47, 48, 51, 54, 55, 62, 63, 68, 72, 73, 78, 79, 80, 83, 84, 85, 92, 93, 94, 100, 105, 106, 117, 118, 122, 123, 134, 147, 148, 149, 150, 155, 159, 165, 166, 171, 188]"
1,2,122,307.0,5.098360655737705,1,[64]
2,3,21349,703.8383062438521,71.92243196402642,238,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 44, 45, 60, 66, 67, 76, 81, 90, 99, 103, 104, 112, 113, 114, 120, 121, 127, 132, 133, 137, 142, 144, 145, 146, 153, 154, 164, 169, 170, 178, 182, 184, 185, 195, 202, 203, 204, 205, 211, 214, 215, 216, 221, 231, 232, 233, 234, 235, 241, 244, 252, 253, 257, 258, 259, 260, 261, 276, 287, 288, 289, 296, 302, 303, 308, 317, 318, 319, 323, 324, 325, 326, 332, 336, 356, 357, 358, 367, 373, 374, 377, 378, 383, 384, 389, 393, 394, 400, 401, 402, 408, 415, 416, 424, 428, 429, 430, 431, 436, 437, 447, 448, 453, 458, 459, 462, 463, 464, 472, 473, 475, 486, 487, 497, 498, 499, 507, 508, 517, 518, 524, 526, 527, 541, 542, 543, 548, 549, 554, 555, 556, 559, 565, 569, 580, 585, 590, 596, 597, 598, 604, 609, 613, 641, 649, 650, 654, 655, 656, 665, 674, 675, 676, 683, 686, 687, 688, 699, 707, 708, 709, 715, 719, 734, 735, 736, 740, 741, 742, 744, 751, 752, 753, 754, 757, 758, 762, 766, 767, 771, 772, 773, 774, 788, 789, 790, 791, 793, 794, 798, 799, 800, 801, 804, 809, 815, 816, 823, 824, 828, 829, 834, 837, 838, 844, 845, 846, 852, 856, 863, 864, 865, 867, 872, 873, 881, 883, 884, 885, 890, 894, 895, 896, 898, 901, 912, 913]"
3,4,101,769.6534653465346,194.66336633663366,0,[]
4,5,118,682.0169491525423,221.44915254237287,1,[1097]
5,6,68937,130.02001827755777,445.3703091228223,1060,"[1146, 1148, 1152, 1154, 1155, 1158, 1159, 1160, 1161, 1170, 1174, 1175, 1182, 1184, 1192, 1193, 1196, 1197, 1198, 1199, 1200, 1201, 1206, 1207, 1208, 1212, 1213, 1214, 1216, 1220, 1221, 1222, 1223, 1229, 1230, 1231, 1237, 1238, 1239, 1240, 1244, 1245, 1246, 1247, 1250, 1254, 1255, 1259, 1260, 1267, 1269, 1270, 1271, 1273, 1274, 1277, 1278, 1280, 1285, 1286, 1287, 1290, 1295, 1300, 1307, 1311, 1312, 1319, 1320, 1321, 1326, 1327, 1328, 1329, 1333, 1339, 1340, 1348, 1352, 1353, 1354, 1360, 1365, 1366, 1367, 1369, 1370, 1371, 1376, 1377, 1380, 1381, 1388, 1389, 1390, 1396, 1397, 1398, 1406, 1407, 1410, 1411, 1412, 1426, 1427, 1428, 1429, 1430, 1431, 1436, 1437, 1440, 1442, 1449, 1452, 1457, 1458, 1463, 1464, 1468, 1469, 1470, 1471, 1472, 1473, 1478, 1479, 1481, 1482, 1487, 1494, 1495, 1498, 1499, 1500, 1501, 1502, 1507, 1513, 1514, 1518, 1519, 1522, 1523, 1524, 1525, 1530, 1531, 1532, 1534, 1535, 1536, 1539, 1540, 1550, 1551, 1557, 1558, 1559, 1560, 1561, 1563, 1564, 1569, 1573, 1576, 1577, 1580, 1587, 1588, 1592, 1593, 1597, 1601, 1602, 1606, 1607, 1608, 1614, 1615, 1620, 1621, 1626, 1627, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1642, 1649, 1650, 1660, 1661, 1662, 1667, 1668, 1669, 1670, 1671, 1673, 1674, 1681, 1686, 1687, 1691, 1696, 1697, 1698, 1705, 1707, 1712, 1713, 1714, 1717, 1718, 1722, 1723, 1724, 1725, 1730, 1733, 1734, 1737, 1738, 1739, 1740, 1741, 1748, 1749, 1758, 1764, 1765, 1766, 1769, 1770, 1771, 1772, 1777, 1786, 1787, 1788, 1789, 1790, 1796, 1800, 1801, 1805, 1806, 1807, 1814, 1819, 1820, 1827, 1828, 1838, 1839, 1840, 1841, 1842, 1847, 1850, 1851, 1859, 1860, 1861, 1862, 1867, 1868, 1869, 1875, 1876, 1877, 1881, 1882, 1883, 1887, 1888, 1894, 1895, 1896, 1897, 1902, 1907, 1908, 1914, 1921, 1922, 1923, 1931, 1932, 1936, 1937, 1943, 1944, 1945, 1946, 1947, 1948, 1954, 1955, 1958, 1959, 1960, 1964, 1965, 1972, 1973, 1980, 1984, 1985, 1986, 1996, 1997, 1998, 2003, 2004, 2012, 2013, 2014, 2018, 2019, 2022, 2023, 2024, 2031, 2032, 2033, 2035, 2036, 2040, 2041, 2046, 2047, 2048, 2049, 2050, 2056, 2057, 2058, 2059, 2062, 2063, 2064, 2067, 2068, 2074, 2075, 2079, 2080, 2081, 2086, 2087, 2095, 2096, 2097, 2104, 2105, 2110, 2111, 2113, 2114, 2118, 2119, 2122, 2123, 2124, 2125, 2126, 2132, 2133, 2134, 2137, 2138, 2142, 2143, 2144, 2146, 2147, 2153, 2154, 2155, 2156, 2157, 2164, 2165, 2166, 2170, 2174, 2175, 2183, 2184, 2185, 2186, 2194, 2195, 2205, 2206, 2207, 2208, 2211, 2212, 2218, 2219, 2226, 2227, 2230, 2231, 2232, 2233, 2234, 2241, 2242, 2250, 2251, 2252, 2253, 2258, 2259, 2261, 2262, 2267, 2268, 2271, 2277, 2278, 2279, 2280, 2283, 2293, 2294, 2299, 2300, 2301, 2307, 2312, 2313, 2317, 2318, 2323, 2324, 2325, 2326, 2332, 2333, 2337, 2338, 2339, 2343, 2349, 2350, 2355, 2356, 2357, 2358, 2359, 2360, 2364, 2365, 2366, 2369, 2375, 2378, 2379, 2380, 2381, 2382, 2386, 2387, 2391, 2392, 2395, 2396, 2397, 2400, 2406, 2411, 2412, 2413, 2414, 2417, 2418, 2419, 2420, 2421, 2422, 2428, 2429, 2432, 2438, 2443, 2444, 2450, 2451, 2452, 2453, 2454, 2455, 2464, 2465, 2466, 2467, 2468, 2469, 2470, 2471, 2474, 2475, 2481, 2492, 2494, 2495, 2496, 2497, 2502, 2503, 2509, 2510, 2511, 2512, 2516, 2517, 2521, 2522, 2523, 2524, 2525, 2526, 2527, 2528, 2534, 2541, 2542, 2544, 2551, 2552, 2553, 2555, 2556, 2562, 2566, 2567, 2573, 2574, 2577, 2581, 2582, 2583, 2588, 2589, 2595, 2596, 2602, 2603, 2604, 2605, 2606, 2609, 2610, 2614, 2615, 2616, 2621, 2624, 2626, 2627, 2628, 2631, 2632, 2640, 2641, 2642, 2647, 2648, 2649, 2650, 2651, 2652, 2653, 2656, 2659, 2660, 2664, 2665, 2666, 2673, 2674, 2677, 2678, 2679, 2685, 2686, 2687, 2692, 2693, 2694, 2695, 2696, 2703, 2706, 2707, 2708, 2709, 2710, 2711, 2723, 2724, 2725, 2727, 2733, 2738, 2739, 2740, 2741, 2744, 2745, 2746, 2747, 2753, 2754, 2755, 2759, 2760, 2761, 2767, 2768, 2773, 2774, 2775, 2779, 2785, 2788, 2789, 2790, 2792, 2793, 2801, 2802, 2803, 2807, 2808, 2809, 2810, 2811, 2816, 2817, 2822, 2823, 2830, 2831, 2837, 2838, 2840, 2841, 2842, 2843, 2845, 2846, 2851, 2860, 2861, 2862, 2868, 2869, 2870, 2871, 2872, 2873, 2880, 2881, 2882, 2883, 2884, 2885, 2896, 2897, 2898, 2899, 2900, 2905, 2906, 2916, 2917, 2918, 2921, 2926, 2927, 2928, 2929, 2938, 2939, 2940, 2945, 2946, 2948, 2949, 2950, 2960, 2961, 2962, 2966, 2974, 2975, 2976, 2979, 2980, 2990, 2991, 2992, 2993, 2994, 3004, 3005, 3006, 3009, 3010, 3011, 3012, 3013, 3017, 3018, 3026, 3033, 3034, 3035, 3036, 3037, 3040, 3041, 3053, 3054, 3058, 3059, 3065, 3066, 3067, 3068, 3069, 3072, 3077, 3078, 3079, 3082, 3092, 3093, 3094, 3095, 3100, 3105, 3106, 3112, 3116, 3117, 3124, 3129, 3134, 3135, 3145, 3146, 3153, 3154, 3155, 3160, 3161, 3174, 3175, 3190, 3191, 3194, 3201, 3202, 3203, 3207, 3208, 3209, 3214, 3215, 3216, 3224, 3225, 3226, 3233, 3234, 3240, 3250, 3251, 3252, 3258, 3259, 3260, 3273, 3274, 3280, 3281, 3295, 3296, 3297, 3298, 3305, 3306, 3314, 3319, 3320, 3321, 3322, 3330, 3338, 3339, 3343, 3348, 3349, 3350, 3359, 3360, 3365, 3375, 3376, 3377, 3378, 3384, 3385, 3386, 3391, 3392, 3393, 3398, 3399, 3400, 3406, 3413, 3414, 3415, 3425, 3426, 3432, 3433, 3440, 3441, 3442, 3449, 3456, 3467, 3468, 3469, 3470, 3471, 3477, 3484, 3485, 3486, 3493, 3494, 3495, 3500, 3501, 3502, 3515, 3516, 3522, 3528, 3529, 3538, 3539, 3548, 3554, 3561, 3566, 3570, 3577, 3578, 3579, 3587, 3588, 3589, 3590, 3599, 3600, 3602, 3603, 3604, 3611, 3612, 3618, 3624, 3635, 3636, 3640, 3647, 3648, 3658, 3659, 3663, 3671, 3672, 3673, 3682, 3686, 3687, 3688, 3699, 3700, 3701, 3709, 3710, 3711, 3712, 3713, 3718, 3727, 3735, 3736, 3737, 3741, 3742, 3743, 3749, 3750, 3753, 3757, 3758, 3759, 3769, 3770, 3774, 3780, 3781, 3782, 3783, 3792, 3797, 3798, 3799, 3805, 3806, 3807, 3811, 3812, 3813, 3817, 3818, 3819, 3820, 3828, 3834, 3835, 3848, 3849, 3850, 3857, 3858, 3859, 3862, 3866, 3867, 3871, 3872, 3878, 3879, 3880, 3881, 3886, 3887, 3891, 3892, 3896, 3897, 3901, 3902, 3903, 3912, 3919, 3920, 3924, 3930, 3931, 3932, 3933, 3940, 3941, 3942, 3943, 3944, 3945, 3951, 3955, 3956, 3957, 3958, 3959, 3976, 3980, 3981, 3990, 3998, 3999, 4002, 4003, 4004, 4012, 4013, 4022, 4023, 4024, 4025, 4026, 4027, 4028, 4034, 4035, 4036, 4043, 4044, 4045, 4050, 4051, 4053, 4062, 4063, 4064, 4072, 4073, 4080, 4081, 4082, 4083, 4084, 4085, 4091, 4092, 4093, 4102, 4103, 4104, 4105, 4110, 4115, 4116, 4117, 4118, 4125, 4126, 4133, 4134, 4135, 4144, 4145, 4146, 4147, 4150, 4151, 4155, 4156, 4164, 4173, 4174, 4175, 4181, 4182]"
6,7,69068,471.9974373081601,443.53151966178257,1054,"[1156, 1157, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1171, 1172, 1173, 1176, 1177, 1181, 1185, 1186, 1187, 1188, 1194, 1195, 1202, 1203, 1209, 1210, 1211, 1215, 1217, 1218, 1224, 1227, 1232, 1233, 1234, 1235, 1241, 1242, 1248, 1249, 1251, 1252, 1253, 1256, 1257, 1261, 1262, 1263, 1264, 1268, 1275, 1279, 1281, 1282, 1283, 1288, 1289, 1291, 1292, 1293, 1296, 1297, 1298, 1301, 1302, 1303, 1304, 1308, 1309, 1313, 1314, 1315, 1316, 1322, 1323, 1324, 1325, 1330, 1334, 1335, 1336, 1341, 1342, 1345, 1349, 1350, 1355, 1356, 1357, 1358, 1361, 1362, 1363, 1372, 1373, 1378, 1382, 1383, 1384, 1385, 1386, 1391, 1392, 1393, 1394, 1395, 1399, 1400, 1401, 1402, 1403, 1404, 1408, 1409, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1423, 1424, 1432, 1433, 1434, 1441, 1443, 1444, 1445, 1446, 1447, 1450, 1451, 1453, 1454, 1455, 1456, 1459, 1460, 1465, 1466, 1474, 1475, 1476, 1477, 1480, 1483, 1484, 1485, 1486, 1488, 1489, 1490, 1496, 1497, 1503, 1504, 1508, 1509, 1511, 1512, 1515, 1516, 1517, 1520, 1521, 1526, 1527, 1537, 1538, 1541, 1542, 1543, 1544, 1545, 1546, 1547, 1552, 1553, 1565, 1566, 1567, 1570, 1574, 1575, 1578, 1579, 1581, 1582, 1583, 1584, 1589, 1590, 1591, 1594, 1595, 1596, 1598, 1599, 1600, 1603, 1604, 1609, 1610, 1611, 1612, 1616, 1617, 1622, 1623, 1624, 1628, 1629, 1637, 1638, 1639, 1640, 1643, 1644, 1645, 1646, 1647, 1651, 1653, 1654, 1655, 1656, 1657, 1663, 1664, 1665, 1672, 1675, 1676, 1677, 1682, 1683, 1684, 1688, 1689, 1692, 1693, 1694, 1695, 1699, 1702, 1703, 1706, 1708, 1709, 1715, 1719, 1726, 1727, 1728, 1731, 1735, 1742, 1743, 1744, 1745, 1746, 1750, 1751, 1752, 1753, 1754, 1756, 1759, 1760, 1761, 1762, 1767, 1768, 1773, 1774, 1775, 1778, 1779, 1780, 1781, 1782, 1783, 1784, 1791, 1792, 1793, 1794, 1797, 1798, 1802, 1803, 1804, 1808, 1809, 1810, 1811, 1812, 1813, 1815, 1816, 1821, 1822, 1823, 1824, 1825, 1829, 1830, 1832, 1833, 1834, 1835, 1836, 1843, 1848, 1852, 1853, 1854, 1856, 1857, 1863, 1864, 1865, 1870, 1871, 1872, 1873, 1874, 1878, 1884, 1885, 1889, 1890, 1891, 1892, 1893, 1898, 1903, 1909, 1910, 1911, 1915, 1916, 1917, 1918, 1924, 1925, 1926, 1927, 1928, 1933, 1938, 1939, 1940, 1941, 1942, 1949, 1950, 1952, 1953, 1961, 1962, 1966, 1967, 1968, 1969, 1974, 1975, 1976, 1981, 1982, 1987, 1988, 1989, 1991, 1992, 1999, 2000, 2005, 2006, 2007, 2008, 2009, 2015, 2016, 2020, 2021, 2025, 2026, 2027, 2028, 2029, 2034, 2037, 2038, 2039, 2042, 2043, 2044, 2051, 2052, 2053, 2065, 2066, 2069, 2070, 2071, 2072, 2076, 2077, 2082, 2083, 2084, 2088, 2089, 2090, 2091, 2092, 2098, 2099, 2100, 2101, 2102, 2106, 2107, 2115, 2116, 2117, 2120, 2127, 2128, 2129, 2130, 2135, 2139, 2140, 2145, 2148, 2149, 2158, 2159, 2160, 2161, 2167, 2168, 2171, 2172, 2173, 2176, 2177, 2178, 2179, 2180, 2181, 2187, 2188, 2189, 2190, 2191, 2196, 2197, 2198, 2202, 2203, 2209, 2213, 2214, 2215, 2216, 2220, 2221, 2222, 2223, 2224, 2228, 2229, 2235, 2236, 2237, 2238, 2243, 2244, 2245, 2254, 2255, 2256, 2260, 2263, 2264, 2265, 2272, 2274, 2275, 2276, 2281, 2282, 2284, 2285, 2286, 2287, 2288, 2295, 2296, 2302, 2303, 2304, 2305, 2308, 2309, 2310, 2311, 2314, 2315, 2316, 2319, 2320, 2327, 2329, 2334, 2335, 2340, 2341, 2344, 2345, 2346, 2347, 2351, 2352, 2361, 2362, 2367, 2370, 2371, 2372, 2373, 2376, 2383, 2384, 2388, 2389, 2393, 2398, 2399, 2404, 2405, 2407, 2408, 2415, 2416, 2423, 2424, 2430, 2431, 2433, 2434, 2435, 2436, 2439, 2440, 2441, 2445, 2446, 2447, 2448, 2456, 2457, 2458, 2459, 2460, 2461, 2472, 2476, 2477, 2478, 2479, 2482, 2483, 2485, 2486, 2487, 2488, 2489, 2490, 2498, 2499, 2500, 2501, 2504, 2505, 2506, 2507, 2513, 2514, 2518, 2519, 2529, 2530, 2531, 2532, 2535, 2536, 2537, 2538, 2543, 2545, 2546, 2547, 2548, 2549, 2554, 2557, 2558, 2559, 2560, 2568, 2569, 2570, 2575, 2578, 2579, 2580, 2584, 2585, 2586, 2590, 2591, 2597, 2598, 2599, 2600, 2607, 2608, 2611, 2617, 2618, 2619, 2622, 2629, 2633, 2634, 2635, 2643, 2644, 2645, 2657, 2661, 2667, 2668, 2669, 2670, 2671, 2675, 2680, 2681, 2682, 2683, 2688, 2689, 2690, 2697, 2698, 2699, 2704, 2712, 2713, 2714, 2715, 2716, 2717, 2718, 2726, 2728, 2734, 2735, 2742, 2743, 2748, 2749, 2750, 2751, 2752, 2756, 2762, 2763, 2764, 2765, 2769, 2770, 2771, 2776, 2777, 2780, 2781, 2782, 2783, 2786, 2791, 2794, 2795, 2796, 2797, 2804, 2805, 2812, 2813, 2818, 2819, 2820, 2824, 2825, 2826, 2827, 2832, 2833, 2839, 2844, 2847, 2852, 2853, 2854, 2856, 2857, 2858, 2863, 2864, 2874, 2875, 2876, 2886, 2887, 2888, 2889, 2892, 2893, 2894, 2901, 2902, 2903, 2907, 2908, 2909, 2910, 2911, 2913, 2919, 2920, 2922, 2923, 2930, 2931, 2932, 2933, 2934, 2941, 2942, 2943, 2947, 2951, 2952, 2953, 2954, 2955, 2963, 2964, 2967, 2968, 2969, 2970, 2977, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2995, 2996, 2997, 2998, 3002, 3007, 3008, 3014, 3015, 3019, 3020, 3021, 3022, 3023, 3027, 3028, 3029, 3038, 3039, 3042, 3043, 3044, 3046, 3047, 3048, 3049, 3050, 3055, 3056, 3060, 3061, 3062, 3063, 3070, 3073, 3074, 3075, 3083, 3084, 3086, 3087, 3088, 3089, 3090, 3096, 3097, 3098, 3101, 3102, 3103, 3107, 3108, 3109, 3113, 3114, 3118, 3119, 3120, 3125, 3126, 3130, 3131, 3132, 3136, 3137, 3138, 3139, 3140, 3147, 3148, 3149, 3150, 3156, 3157, 3158, 3159, 3162, 3163, 3164, 3165, 3168, 3169, 3170, 3171, 3172, 3176, 3177, 3178, 3179, 3181, 3182, 3183, 3184, 3185, 3186, 3187, 3188, 3192, 3193, 3195, 3196, 3197, 3204, 3205, 3210, 3211, 3212, 3217, 3218, 3219, 3220, 3221, 3222, 3227, 3228, 3229, 3230, 3231, 3235, 3236, 3237, 3241, 3242, 3243, 3244, 3245, 3246, 3247, 3253, 3254, 3255, 3256, 3261, 3262, 3263, 3264, 3265, 3268, 3269, 3270, 3275, 3276, 3277, 3278, 3279, 3282, 3283, 3284, 3285, 3286, 3289, 3290, 3291, 3299, 3300, 3301, 3302, 3307, 3308, 3309, 3310, 3315, 3316, 3317, 3318, 3323, 3324, 3325, 3326, 3331, 3332, 3333, 3334, 3335, 3336, 3337, 3344, 3345, 3346, 3347, 3354, 3355, 3361, 3362, 3366, 3367, 3368, 3369, 3370, 3371, 3372, 3379, 3380, 3381, 3387, 3388, 3394, 3395, 3396, 3401, 3402, 3403, 3407, 3408, 3409, 3416, 3417, 3420, 3421, 3422, 3427, 3428, 3429, 3434, 3435, 3436, 3437, 3438, 3443, 3444, 3445, 3446, 3450, 3451, 3452, 3453, 3454, 3457, 3458, 3459, 3460, 3461, 3462, 3472, 3473, 3474, 3478, 3479, 3480, 3487, 3488, 3489, 3490, 3496, 3497, 3498, 3503, 3504, 3505, 3506, 3509, 3510, 3511, 3512, 3517, 3518, 3519, 3520, 3523, 3526, 3527, 3530, 3531, 3532, 3533, 3534, 3540, 3541, 3542, 3543, 3550, 3551, 3552, 3555, 3556, 3562]"
7,8,98,44.0,248.6326530612245,0,[]
8,9,1390,431.8460431654676,346.3064748201439,0,[]
9,10,236,230.59322033898306,383.3686440677966,0,[]
